Index,Vandløb,Lokation,UTMx,UTMy, longitude, latitude
239,SKÆRUP Å,SKÆRUP Å; PJEDSTED,541914,6162334,9.66528364,55.6051314
240,HORNDRUP BÆK,HORNDRUP BÆK; SORTHOLMVEJ,553244,6206689,9.853776952,56.0025204
241,HORNDRUP BÆK,HORNDRUP BÆK; SV FOR RØDEKÆR; RØDEKÆRVEJ,552374,6205340,9.839565292,55.99049678
242,MøllebÆkken,MøllebÆkken; Ø for Munkegård - Afl. Munkesø,490579,6128838,8.851593349,55.30585903
243,STIGSBÆK,STIGSBÆK; STIGSBRO,527941,6260016,9.453688862,56.48376793
244,SILLERUP BÆK,SILLERUP BÆK; VADBRO,536637,6130019,9.577272308,55.31519781
245,VON Å,VON Å; VERDENS ENDE,452948,6220156,8.243135921,56.12415619
247,VINDINGE Å,VINDINGE Å; NS ULLERSLEV RENS. (9.90),605984,6134713,10.67136568,55.34731357
248,VINDINGE Å,VINDINGE Å; 3.90,609452,6131359,10.72471946,55.31642853
249,Legind Å,Legind Å; 400 M Nestrøms Lødderup,488033,6291613,8.804220332,56.7683113
250,VEJLEMØLLE Å,VEJLEMØLLE Å; VEJLEMØLLE BRO,680938,6180521,11.88201699,55.73654849
251,HEJREDE SØ; TILLØB 36L,HEJREDE SØ; TILLØB 36L; SØMOSE,667089,6069496,11.59590373,54.74489503
252,HAURBÆK,HAURBÆK; 250 M OS. SØEN,529519,6234685,9.476462614,56.25609569
253,FISKBÆK,FISKBÆK; T.T.FLENSBORG FJORD,539680,6088130,9.619363032,54.93855975
254,FISKBÆK,FISKBÆK; N FOR KVÆRSDAM,535539,6089184,9.554860369,54.94834317
258,HELLEGÅRD Å,HELLEGÅRD Å; TINDSKOV BRO,484167,6256058,8.743150495,56.44877112
260,GelbÆk,GelbÆk; Rampes Møllevej,550068,6232203,9.8076425,56.23207724
261,Skivholmeskov bÆk,Skivholmeskov bÆk; 400 m opstrøms sø,558959,6230485,9.950659663,56.21562469
262,SALLINGE Å,SALLINGE Å; RYSLINGE,597165,6121435,10.52775917,55.22986247
263,SALLINGE Å,SALLINGE Å; 2.50,584999,6120614,10.33628391,55.22473143
264,LL. VEJLE Å,LL. VEJLE Å; PILEMØLLEN,708823,6167762,12.31568927,55.61088494
266,MAREN MØLLEBÆK,MAREN MØLLEBÆK; AFL. MØLLEVÆNGET RENSEANLÆG,560621,6279708,9.988866904,56.65758525
267,GEVNINGE Å,GEVNINGE Å; GEVNINGE BRO,686443,6171094,11.9631612,55.64987012
268,FUNDER Å,FUNDER Å; FUNDER ST.,529141,6221430,9.468906673,56.1370314
269,FUNDER Å,FUNDER Å; LIGE OPST. LØGAGER BRO,528796,6220820,9.463289596,56.13157182
270,FUNDER Å,FUNDER Å; FUNDERHOLME,531557,6222916,9.507956815,56.15022856
271,FUNDER Å,FUNDER Å; VED A15;,525696,6221707,9.413501762,56.13971802
273,KÆrbÆkken,KÆrbÆkken; Tilløb til Skalle Sø,491619,6261082,8.863877968,56.49409916
278,HOLME Å,HOLME Å; VED HOVBORG;NS HOVBORG FISKERI,495963,6162168,8.935922396,55.60542735
279,HOLME Å,HOLME Å; VED HOSTRUP,481885,6168781,8.712034685,55.66452731
280,MØDDEBROVANDLØBET,MØDDEBROVANDLØBET; ns Solbjerg renseanlÆg,567344,6211173,10.08095724,56.04102938
281,HARRESTRUP Å,HARRESTRUP Å; VED FÆSTNINGSKANALEN,717002,6178859,12.45405966,55.70683956
283,HASLEVGÅRDS Å,HASLEVGÅRDS Å; TRÆPÆLEBRO,575059,6295316,10.22889341,56.79568089
286,UDESUNDBY Å,UDESUNDBY Å; V. FREDERIKSSUND,692475,6192218,12.07375342,55.83705367
287,KARUP Å,KARUP Å; NØRKÆR BRO,498921,6263308,8.982465907,56.51417135
288,KARUP Å,KARUP Å; HAGEBRO,500460,6251413,9.007454185,56.40730446
289,KARUP Å,KARUP Å; KARUP,509538,6240210,9.15415397,56.30655629
290,KARUP Å,KARUP Å; SKYGGE BRO,516416,6227543,9.264529837,56.19256163
291,KARUP Å,KARUP Å; SKIVE,501498,6268226,9.024371335,56.5583543
292,SønderbÆk,SønderbÆk; Ø for Munkehøjgård - Till. Munkesø,491087,6128156,8.85961736,55.29974007
293,Mejerigrøften,Mejerigrøften; V. KETTING BY,556771,6091696,9.886810611,54.96895016
294,SKJERN Å,SKJERN Å; ALERGÅRD,481696,6201307,8.706841966,55.95676978
295,SKJERN Å,SKJERN Å; NS KARSTOFT; VED SKOVBJERG,489516,6200783,8.832107132,55.95229592
296,SKJERN Å,SKJERN Å; OS. HOLTUM Å,503420,6204135,9.054811237,55.98251578
297,SKJERN Å,SKJERN Å; HEDEBY BRO,466352,6198249,8.461482278,55.9284653
298,SKJERN Å,SKJERN Å; GJALDBÆK BRO,476743,6199257,8.627692847,55.93813668
299,SKJERN Å,SKJERN Å; O.S. RØRBÆKSØ,524183,6197764,9.386996825,55.92467663
300,SKJERN Å,SKJERN Å; NV for Sandfeld Bjerge,504388,6203164,9.070309221,55.9737835
301,SKJERN Å,SKJERN Å; Gl. Lønborg Bro,464908,6198016,8.438403351,55.92626871
302,SKJERN Å,SKJERN Å; KODBØL,473488,6199728,8.575540769,55.94220006
303,SKJERN Å,SKJERN Å; NS. ELVÆRK SØ,507476,6201999,9.119756024,55.96327787
304,SKJERN Å,SKJERN Å; TYKSKOV,514586,6201161,9.233603036,55.95558523
305,TANGE Å,TANGE Å; VINDELSBÆK BRO,532900,6245042,9.532324577,56.34892209
306,GANER Å,GANER Å; KLOSTER (SKJERN),467313,6199601,8.476698112,55.94067883
307,26-8-1 T.t. Skarresø,26-8-1 T.t. Skarresø; Skarresholm,649699,6170546,11.37951986,55.65765637
314,LobÆk,LobÆk; Syd for broen ved vejen fra Nr,497432,6107603,8.959739906,55.1151225
315,RINGE Å,RINGE Å; 3.05,580669,6158354,10.27913177,55.56449938
316,Ganer Å,Ganer Å; Klostervej,467521,6199968,8.479983751,55.9439903
318,GAMMELMØLLE SØ,GAMMELMØLLE SØ; GAMMELMØLLE SØ; T.T.,602659,6122497,10.61449244,55.23829012
319,Suså,Suså; Vetterslev; Ny bro,674816,6141214,11.75977634,55.38601282
320,Suså,Suså; Phønix-krydset,675375,6123611,11.75759849,55.22781752
321,FRØSMOSE Å,FRØSMOSE Å; GYRSTINGE MØLLEGÅRD,669129,6153495,11.67756636,55.49823892
322,ALLING Å,ALLING Å; NY RÆVEBRO; FLØJSTRUP,578602,6252878,10.27398768,56.41392588
323,ALLING Å,ALLING Å; RINGVEJ OPST. GRUND FJORD,580885,6258982,10.3128688,56.46836624
324,GEDEBÆKSRENDEN,GEDEBÆKSRENDEN; SØNDERLUND BRO,692250,6171426,12.0555398,55.65058757
325,FREDSKILDE BÆK,FREDSKILDE BÆK; LANGVAD,462942,6305577,8.391719729,56.89243348
326,Femmøller Mølleå,Femmøller Mølleå; V for Møllebro,598850,6232447,10.59437287,56.22663242
327,Hundsø udløbskanal,Hundsø udløbskanal; Hundsø Nord,492836,6309614,8.882290439,56.93012525
329,Afløb fra Vedbøl Sø; Storå,Afløb fra Vedbøl Sø; Storå; Afløb fra Vedbøl Sø; Storå,525862,6115963,9.406211217,55.18957734
330,GRØNNEBÆK,GRØNNEBÆK; LÅDDENBØG - NØRRESKOV,559028,6096505,9.923053025,55.01189817
333,RIND Å,RIND Å; VED KIRKEGÅRDEN,498093,6206414,8.969420961,56.00300089
334,KARSTOFT Å,KARSTOFT Å; SYD FOR NR. GRENE,491637,6201019,8.866065812,55.95445796
335,KARSTOFT Å,KARSTOFT Å; CLASSONBORG,493333,6199915,8.893254635,55.94456504
336,KARSTOFT Å,KARSTOFT Å; SKÆRLUND,500491,6196472,9.00785515,55.9136755
337,Hoptrup å,Hoptrup å; Nordvest for vejbro ved vejen fra DiernÆs til Sdr.,531392,6113590,9.492803793,55.16793379
338,Hoptrup å,Hoptrup å; BrÆråvej,530703,6114246,9.482059157,55.17387174
340,BARLØSE; DRÆN,BARLØSE; DRÆN; DRÆN 10 (BARLØSE),561380,6132941,9.967726221,55.33898708
341,LILLEBÆK,LILLEBÆK; TOPENDEN,611839,6109822,10.75378338,55.12244949
342,LILLEBÆK,LILLEBÆK; FREDSKOVVEJ,612863,6109465,10.76969072,55.11901084
343,Kanal fra Vest Stadil Fjord,Kanal fra Vest Stadil Fjord; os pumpestation,446808,6224306,8.143552866,56.1607942
345,DrÆntilløb SandskÆr,DrÆntilløb SandskÆr; DrÆn 3; n f. Hellehave,531385,6107338,9.492002371,55.1117545
346,GØDEL KANAL,GØDEL KANAL; VESTERLUND BRO,450843,6187352,8.215268696,55.82922876
347,BORREBY MØLLEBÆK,BORREBY MØLLEBÆK; BRYLLE-OS BRYLLE RENS.,580094,6131225,10.26221308,55.3208789
350,Kruså,Kruså; Tilløb 1 til Kruså Møllesø,524595,6076964,9.382956785,54.83918927
351,SUNDS NØRRE Å,SUNDS NØRRE Å; NYBRO,492709,6233463,8.882348372,56.24597759
352,SUNDS NØRRE Å,SUNDS NØRRE Å; AFLØB FRA SUNDS SØ,500653,6229920,9.01052845,56.2142006
353,MADUM Å,MADUM Å; VEJBRO OS TIM Å,451799,6227578,8.22331121,56.19072002
354,Madum Å,Madum Å; Stadilvej ved bro,451801,6227375,8.223380271,56.1888965
355,RAMLØSE Å,RAMLØSE Å; OLDTIDSVEJ,694214,6214375,12.11741675,56.03514549
356,BjørnkÆr Grøft,BjørnkÆr Grøft; Afløb fra BjørnkÆr,489170,6261458,8.824086497,56.49742726
357,BjørnkÆr Grøft,BjørnkÆr Grøft; BjørnkÆr Grøft,490580,6261467,8.846988938,56.49753844
358,HybÆk,HybÆk; HybÆk Mølle,555686,6138994,9.879170994,55.39405003
359,ØrbÆk Rende,ØrbÆk Rende; BRO VED HJORTENÆS,660902,6146476,11.54340626,55.43800735
361,HOLSTENHUUS AFLØB,HOLSTENHUUS AFLØB; AFL.F.HOLSTERHUUS GL.DYREHAVE,584217,6107621,10.32013101,55.10813916
362,KIGHANERENDEN,KIGHANERENDEN; CAROLINE MATHILDEVEJ,722607,6194163,12.55557366,55.84154727
363,Bundsø tilløb nord,Bundsø tilløb nord; Oksbøl på nordsiden,547647,6098573,9.745445637,55.03170018
364,Fåremølle Å,Fåremølle Å; Os.Fåre Dambrug,454901,6256618,8.268318151,56.45191182
365,TUELÅ,TUELÅ; BULBRO,664545,6147313,11.60142061,55.44431089
366,ODDERBÆK; DRÆN TILLØB,ODDERBÆK; DRÆN TILLØB; DRÆN VED NYRUP,531307,6291768,9.512190396,56.76880588
368,HOLTSBÆK,HOLTSBÆK; OPST. STORE SØ,559600,6209869,9.956387154,56.03034088
370,Nørregård BÆk,Nørregård BÆk; Poppelplantage,457332,6241541,8.310207446,56.31669032
371,Dons BÆk; tilløb til Dons Søndersø,Dons BÆk; tilløb til Dons Søndersø; Nedstrøms UldkÆrgård,527096,6155713,9.42944334,55.54668985
372,DAMHUS Å,DAMHUS Å; SLYK BRO,456912,6244938,8.302861976,56.34717028
373,DØDE Å,DØDE Å; LIGE OPSTRØMS BRABRAND SØ,570608,6221992,10.13619501,56.137747
374,DØDE Å,DØDE Å; Ved motorvejsbro,570696,6221065,10.1373649,56.12940676
375,STUBBERUP BÆK,STUBBERUP BÆK; HEDEGÅRDSVEJ,558940,6287606,9.963260476,56.72874505
376,LOLLIKEBÆK,LOLLIKEBÆK; STENSBY SKOV,695909,6095874,12.06088885,54.97120548
377,HARRESTED Å,HARRESTED Å; KRAMSVADGÅRD,649516,6136046,11.35802056,55.34797162
378,HENNEMØLLE Å,HENNEMØLLE Å; UDLØBBYGVÆRK,453051,6174283,8.252762795,55.7120299
379,HENNEMØLLE Å,HENNEMØLLE Å; Hotel S for Damkrog Bjerge,447933,6175368,8.171107725,55.72125548
380,HENNEMØLLE Å,HENNEMØLLE Å; Bro Porsmosevej v. Henne Møllegård,450390,6175583,8.210179228,55.72344482
381,Gedved Mølleå,Gedved Mølleå; Indløb 3,554820,6199366,9.877554677,55.93655354
383,KORUP Å,KORUP Å; EBDRUP BRO,594945,6245763,10.5362036,56.34702289
384,KORUP Å,KORUP Å; HØGHOLT BRO,572722,6289599,10.18901605,56.74470236
385,KÆrby Mose,KÆrby Mose; Tilløb 1,596071,6134851,10.51514947,55.35059056
386,KÆrby Mose,KÆrby Mose; Tilløb 3,596157,6134916,10.51652757,55.35115763
387,KÆrby Mose,KÆrby Mose; Afløb,595896,6134835,10.51238511,55.35048101
388,KÆrby Mose,KÆrby Mose; Tilløb 2,596163,6134861,10.51660328,55.3506624
389,MERN Å,MERN Å; SAGEBY BRO,698284,6102750,12.10269825,55.03196675
390,HYLKE BÆK,HYLKE BÆK; NEDST. HYLKE MØLLE,557652,6206832,9.924480726,56.00329556
391,HORNDRUP Å,HORNDRUP Å; OPST. TÅNING SØ,554251,6208142,9.870215687,56.01546117
392,BREDKÆR BÆK,BREDKÆR BÆK; NS. KÆRGÅRD MØLLE DAMBRUG,470133,6259807,8.5150631,56.48177212
394,Skjern Å,Skjern Å; Sandfeldvej,501439,6204975,9.023066886,55.99007318
395,Skjern Å,Skjern Å; T.t. Nedersø,521050,6198614,9.336927213,55.93246108
396,LANGSLADE RENDE,LANGSLADE RENDE; V.UDLØB I VESTERHAVET,443823,6161393,8.108544202,55.59524024
397,HVIRL Å,HVIRL Å; S FOR ØSTERENG,502996,6091143,9.046797368,54.96720466
399,TÅNING Å,TÅNING Å; FULDBRO MØLLE,552135,6209011,9.836446779,56.02350298
402,BRØNS Å,BRØNS Å; BRØNS V.FORSØGSDAMBRUG,484438,6116601,8.755532307,55.19574193
403,SØBORGHUS RENDE,SØBORGHUS RENDE; DUNHAMMERVEJ,721269,6181236,12.52375659,55.7262303
404,SAKSDAL BÆK,SAKSDAL BÆK; N.Ø.FOR OLLERUPGÅRD,524269,6176392,9.386464413,55.73264508
407,GeddebÆkken,GeddebÆkken; Nedstrøms landevej Fåborg - Od,582200,6114900,10.29063165,55.17387163
408,BRAMMING-HOLSTED Å,BRAMMING-HOLSTED Å; HOVEDVEJ A1,494181,6151719,8.907857461,55.51151896
409,BRAMMING-HOLSTED Å,BRAMMING-HOLSTED Å; HOLSTED SKOVPAVILLION,494253,6151756,8.908996796,55.51185228
410,BRAMMING-HOLSTED Å,BRAMMING-HOLSTED Å; V. SDR. VONG,479059,6149078,8.668606243,55.48737403
412,Afløb fra Jels Midtsø,Afløb fra Jels Midtsø; Afløb fra Jels Midtsø,514123,6136234,9.222848284,55.37220594
413,NØRRE MØLLE Å,NØRRE MØLLE Å; SKOVGÅRD,527874,6261326,9.452741136,56.49554087
414,NØRRE MØLLE Å,NØRRE MØLLE Å; LOLDRUP SØ; AFLØB,526926,6259838,9.43719008,56.48222789
415,NØRRE MØLLE Å,NØRRE MØLLE Å; NØRREMØLLEVEJ,526396,6258345,9.428433778,56.46884477
416,Å Å,Å Å; Slotsmølle,563347,6120130,9.995847715,55.22363535
417,HÆglinge Å,HÆglinge Å; HÆglinge Bro,661760,6147803,11.55772457,55.44963708
418,Ryå,Ryå; Haldagerbro,546451,6329944,9.76693548,57.11046912
419,Ryå,Ryå; AlbÆk. Fra Hunevej til Ryå.,543962,6344700,9.728447242,57.24325961
420,Ryå,Ryå; Ryå. Fra tilløb af BjørnbÆk til Manna(Manna),561966,6341446,10.02591398,57.21194991
421,SØHOLM SØ; TILLØB 2,SØHOLM SØ; TILLØB 2; SØHOLM SØ; TILLØB 2,571771,6126503,10.12987353,55.27973984
423,LINDHOLM Å,LINDHOLM Å; VOERBJERG,554124,6327050,9.892980105,57.08363575
424,LINDHOLM Å,LINDHOLM Å; SKARVAD,561818,6338993,10.02285474,57.18993763
425,LINDHOLM Å,LINDHOLM Å; ELKÆR BRO,555364,6335640,9.915337044,57.16064517
426,Skive Å,Skive Å; Østerbro,502042,6269035,9.033228174,56.56562041
427,HALLEBY Å,HALLEBY Å; HALLEBY BRO,645451,6163360,11.30826206,55.59442912
429,ENGELSHOLM BÆK,ENGELSHOLM BÆK; N.Ø.FOR ENGELSHOLM SLOT,520159,6174589,9.320884348,55.71663317
430,RYDS Å,RYDS Å; RUGÅRDSVEJ (1.85),583139,6141819,10.31333434,55.41554523
431,FALEN Å,FALEN Å; VESTERMARK,454261,6186635,8.269948374,55.8231228
432,BJERGE Å,BJERGE Å; DAMBRO,652125,6127774,11.3946458,55.27290443
433,BJERGE Å,BJERGE Å; FÅRDRUP,647521,6131424,11.32415564,55.30707556
434,FISKBÆK Å,FISKBÆK Å; NYBRO JERNBANEN,515729,6258215,9.255292343,56.46815349
437,HERNINGSHOLM Å,HERNINGSHOLM Å; S FOR ST.GULLESTRUP,497286,6224322,8.956298839,56.16389715
438,HERNINGSHOLM Å,HERNINGSHOLM Å; AFLØB GØDSTRUP SØ,493794,6224035,8.90007699,56.16128588
439,HERNINGSHOLM Å,HERNINGSHOLM Å; OS GØDSTRUP SØ,494492,6223141,8.911333996,56.15326213
440,HERNINGSHOLM Å,HERNINGSHOLM Å; OS. STORÅ,492417,6232685,8.877658796,56.23898303
441,ALSLEV Å,ALSLEV Å; V. FORUMBRO,467554,6158033,8.48549596,55.56720916
442,ALSLEV Å,ALSLEV Å; V. ALSLEVMØLLE,465220,6160115,8.448224758,55.58575533
444,NYBØLLE Å,NYBØLLE Å; NYBØLLEVAD BRO,705061,6178008,12.26371167,55.70439968
445,Vejrup Å,Vejrup Å; Skovhaven,593800,6142874,10.48203998,55.42309858
446,BÆKKELUND BÆK,BÆKKELUND BÆK; RAVNSBREGVEJ,520878,6249427,9.338161253,56.38900074
447,ARRESKOV SØ; TILLØB 4,ARRESKOV SØ; TILLØB 4; ARRESKOV SØ; TILLØB 4,582272,6111917,10.29089581,55.14706069
448,LYNGERUP GRØFT,LYNGERUP GRØFT; LUNDEHUS,685430,6190428,11.96019814,55.823749
449,DAGSTRUP MOSE; AFLØB,DAGSTRUP MOSE; AFLØB; OS RYOM Å,588189,6245984,10.42700585,56.35031422
450,KARLS MØLLEBÆK,KARLS MØLLEBÆK; 500M OS KIELSTRUP SØ; HOLTET,556737,6280742,9.925747346,56.66736043
451,ULSTRUP BÆK,ULSTRUP BÆK; UDL. STUBBE SØ,603464,6236222,10.67023363,56.25955371
452,ENGELSHOLM SØ; TILLØB E9,ENGELSHOLM SØ; TILLØB E9; T.T.ENGELSHOLM SØ; E9,519312,6174663,9.307407524,55.71733256
453,Afløb RørbÆk Sø,Afløb RørbÆk Sø; Skjern Å før indløb dambrug,521280,6198880,9.340629498,55.93484093
454,Afløb Kulsø,Afløb Kulsø; før sammenløb med Von Å,482716,6206417,8.722850007,56.00272024
455,Saltø Å,Saltø Å; Ting Jellinge Bro,657363,6131597,11.47915361,55.30558164
456,DYBVAD Å,DYBVAD Å; NS BREDKILDE BÆK,524841,6313492,9.408530509,56.96435194
457,GULDBÆK,GULDBÆK; SVENSTRUP; 450M OS ØSTERÅ,552605,6315671,9.865542453,56.9816009
458,HADERUP Å,HADERUP Å; HADERUP,500103,6249024,9.001668151,56.38584103
459,LADEGÅRDSÅEN,LADEGÅRDSÅEN; ØSTRE ANLÆG,725345,6177647,12.58557389,55.69216782
460,T.T.Haraldsted Lillesø,T.T.Haraldsted Lillesø; Ved Ejstrupvej,674188,6151588,11.75635947,55.47934685
461,Søby Sø; tilløb 1,Søby Sø; tilløb 1; Søby Sø; tilløb 1,586904,6127308,10.36828813,55.28453528
463,PUGE MØLLEÅ,PUGE MØLLEÅ; SANDAGER KIRKEMADE (3.40),558872,6131407,9.927868531,55.32551116
464,BALLEDAM KANAL,BALLEDAM KANAL; T.T. ST.SØGÅRD SØ; C3,527610,6087074,9.430868815,54.92988404
465,Bundsø; rørtilløb 5,Bundsø; rørtilløb 5; Rørtilløb 5,548117,6098313,9.752754373,55.02931868
467,Garverrenden (Privat),Garverrenden (Privat); LANGTVED LANDEVEJ,677784,6172976,11.82695289,55.67000389
469,LYSÅ,LYSÅ; DMU LYSBRO,531923,6223695,9.513941277,56.15720303
472,DURUP BÆK,DURUP BÆK; 250M OS UDLØB,497047,6294691,8.951653334,56.79610773
474,BARSLUND BÆK; TILLØB,BARSLUND BÆK; TILLØB; V4; PILHUSE,503927,6239992,9.06346537,56.30467732
475,VOEL BÆK,VOEL BÆK; VOEL BRO,543470,6227943,9.700522148,56.19445444
477,Tilløb Tebstrup sø (T2),Tilløb Tebstrup sø (T2); S. for Tebstrup by,554940,6202920,9.880199508,55.96846882
478,GELBÆK,GELBÆK; LYNGBY BRO,550314,6231402,9.811458148,56.22485533
479,RIMMERHUS BÆK,RIMMERHUS BÆK; 500M OS VORGOD Å,483022,6217330,8.72706518,56.10078193
480,Egå Engsø,Egå Engsø; DrÆn Vl27,575610,6231475,10.21936306,56.22216328
481,Egå Engsø,Egå Engsø; RB 10,576236,6231503,10.22946401,56.2223149
482,Egå Engsø,Egå Engsø; Parkeringsplads,576235,6230233,10.22908276,56.21090721
483,Egå Engsø,Egå Engsø; Pumpestation,576525,6230926,10.23395697,56.21708558
484,Egå Engsø,Egå Engsø; RB 8,575092,6231396,10.21098901,56.2215357
485,Egå Engsø,Egå Engsø; DrÆn  Vl28,576116,6231522,10.22753472,56.22250478
486,Egå Engsø,Egå Engsø; RB 9,575693,6231488,10.22070498,56.22226686
487,Egå Engsø,Egå Engsø; DrÆn Vl25,575437,6231471,10.21657266,56.22215482
491,SØHOLM SØ; TILLØB 1,SØHOLM SØ; TILLØB 1; SØHOLM SØ; TILLØB 1,571797,6126589,10.1303047,55.2805087
492,MergelsbÆk,MergelsbÆk; Fredenslund,542184,6338553,9.697945374,57.18821144
493,SØBY Å,SØBY Å; AFLØB SØBY SØ,503511,6211464,9.056365478,56.04836559
494,NØRGÅRD BÆK,NØRGÅRD BÆK; A 16,455563,6223708,8.284603817,56.15631801
495,BRUSGAARD MØLLEBÆK,BRUSGAARD MØLLEBÆK; BRUSGÅRD,568308,6251637,10.10685585,56.40437925
496,ESRUM Å,ESRUM Å; ØRNEVEJ,709858,6221591,12.37370857,56.09327384
500,LANGESØ; AFLØB,LANGESØ; AFLØB; ca. 250m os Stavids å,576123,6143836,10.20308305,55.43480504
501,Afløb fra Sorø Sø,Afløb fra Sorø Sø; Vejbro; Slagelsevej,661207,6147162,11.54861917,55.44406524
502,GJEL BÆK,GJEL BÆK; GJELBRO,520466,6248584,9.331422437,56.38144505
503,LIVER Å,LIVER Å; GL. KLITGÅRD,554373,6373897,9.907387025,57.50438385
504,LIVER Å,LIVER Å; RØDE BRO,553818,6375172,9.898407784,57.51590171
505,VORGOD Å,VORGOD Å; OS. UDL. I SKJERN Å,480359,6201773,8.685394881,55.96090394
506,VORGOD Å,VORGOD Å; STOREBRO; NS RIMMERHUS BÆK,482498,6217501,8.718630372,56.10229941
507,VORGOD Å,VORGOD Å; SØ FOR FRYDENDAL,481302,6213059,8.699713832,56.06234407
508,VORGOD Å,VORGOD Å; VED EGERIS,480809,6212424,8.691841981,56.05661925
510,STAMPESTRØMMEN,STAMPESTRØMMEN; SKYLLES BRO,496046,6252829,8.935905055,56.42000996
511,Tilløb 1 til Arreskov Sø,Tilløb 1 til Arreskov Sø; opstr. målest. 45000035,582755,6114878,10.29933684,55.17358146
512,LØVEHAVE; AFLØB,LØVEHAVE; AFLØB; AFLØB FRA LØVEHAVE,598329,6105372,10.5404815,55.08533929
514,BLÅ Å (LILLEÅ),BLÅ Å (LILLEÅ); JELS OVERSØ; AFLØB,514875,6136964,9.234752897,55.37874337
515,BLÅ Å (LILLEÅ),BLÅ Å (LILLEÅ); T.T. JELS OVERSØ,515936,6137124,9.251506236,55.3801478
516,VEJLE Å,VEJLE Å; AFLØB ENGELSHOLM SØ,519234,6174572,9.306159548,55.716518
518,VEJLE Å,VEJLE Å; REFSGÅRDSLUND,518345,6167087,9.291508337,55.64929753
519,BØNBÆK,BØNBÆK; NØ. FOR PETERSMINDE,586557,6245127,10.400325,56.34291801
520,SØDOVER BÆK,SØDOVER BÆK; V.F.SØDOVER (E7),520325,6175123,9.323566297,55.72142434
521,Nordl. afløb (A1) fra Sandbj.,Nordl. afløb (A1) fra Sandbj.; Mølledam (i 85: Station 4),548085,6089340,9.750747361,54.94869341
522,GRUNDEL BÆK,GRUNDEL BÆK; RINDSHOLM,526777,6250593,9.433823779,56.39917891
523,ÅRESVAD Å,ÅRESVAD Å; VALLERBÆKVEJ,510580,6240045,9.170988161,56.30505175
524,HUNDSTRUP Å,HUNDSTRUP Å; 3.10,589085,6104139,10.39532413,55.07600768
525,HUNDSTRUP Å,HUNDSTRUP Å; ST 6.86,590371,6106363,10.41616565,55.0957547
526,Tilløb til Snaremose Sø,Tilløb til Snaremose Sø; Betonrør,611080,6084604,10.73209547,54.89610514
527,LYNGBY Å,LYNGBY Å; PUMPESTATION,692580,6203087,12.08315538,55.93452988
528,Ryomgård MøllebÆk,Ryomgård MøllebÆk; Vej Ryomgård-Kolind,593568,6249309,10.51519571,56.37914456
529,EllebÆk,EllebÆk; Egå Engsø,576146,6231621,10.22804685,56.22338925
532,SNEUM Å,SNEUM Å; SLUSEN INDVENDIG,475152,6143080,8.607314882,55.43329591
535,SØRUP Å,SØRUP Å; LUNDBY BRO,682347,6082828,11.8410312,54.85925677
537,ØLHOLM BÆK,ØLHOLM BÆK; ØLHOLM,531708,6188421,9.506319744,55.84029485
542,FALD Å,FALD Å; KOKHOLM,468384,6266258,8.485882825,56.53961273
543,VALLUM SØ; TILLØB,VALLUM SØ; TILLØB; TILLØB TIL VALLUM SØ,594544,6250430,10.53139823,56.38901837
544,VALMOSE GRØFT,VALMOSE GRØFT; GANGESBRO,674815,6127593,11.75127336,55.26375731
545,TADERØD BÆK,TADERØD BÆK; OS. TADRE MØLLE,677180,6167080,11.81356311,55.61731023
546,Onsild Å,Onsild Å; OS motorvej,544581,6274791,9.726396746,56.61521722
547,Onsild Å,Onsild Å; Afløb Hobro Vestfjord,548864,6277638,9.796714731,56.64036538
548,Skørring bÆk,Skørring bÆk; Indløb til vådområde,557366,6225634,9.923929831,56.17224047
549,Tilløb SandskÆr,Tilløb SandskÆr; nv f. Hellehave,531217,6107325,9.489367423,55.11164829
550,Afløb BrommeLillesø,Afløb BrommeLillesø; Bøgeholm,658804,6150762,11.51272502,55.47716768
551,RABIS BÆK,RABIS BÆK; NV FOR SORTHØJ,510185,6244623,9.164781498,56.34619112
552,RABIS BÆK,RABIS BÆK; BRO VED BIRTHESMINDE,508179,6244686,9.132328812,56.34679604
553,RABIS BÆK,RABIS BÆK; HØGILD MØLLE,507046,6244615,9.11399604,56.34617636
554,HJARUP BÆK,HJARUP BÆK; TILLØB SØGÅRD SØ; S3,521492,6143152,9.339655285,55.43410157
555,HJARUP BÆK,HJARUP BÆK; OS UDLØB HJARUP RENSEANLÆG,522619,6144265,9.357556186,55.44405181
556,HJARUP BÆK,HJARUP BÆK; Os Søgård Sø (S9),521224,6142661,9.335382546,55.42970131
557,ØrbÆk Å,ØrbÆk Å; Æbleskov,608033,6127458,10.70087033,55.28170323
558,RÆvså,RÆvså; Ved Rørt; 5 m opstrøms vestlige rørudløb,574159,6204216,10.18840117,55.97752811
560,VEJRUP Å,VEJRUP Å; 2.30,593749,6142734,10.48118741,55.42185074
561,T.t.Skarresø,T.t.Skarresø; Astrup Skov,648777,6170521,11.36486484,55.65771506
562,T.t.Skarresø,T.t.Skarresø; Sølyst,650458,6170816,11.39172055,55.65984594
564,HARALDSTED Å,HARALDSTED Å; OS HARALDSTED BY,674991,6152965,11.76991713,55.49141915
565,AMMENDRUP Å,AMMENDRUP Å; TØMMERMANDSBRO,700719,6210335,12.21863047,55.9962236
566,Årup Å,Årup Å; 200 M Før Udløb I Nørhå Sø,466184,6305200,8.444982056,56.88929447
